V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	Class
-0.691658944	-0.652790174	-0.04900457	-0.992900695	0.46128236	-0.522475855	0.627202807	-0.111401943	-1.3914393	0.461623938	0.291814916	0.704503192	1.169128347	0.176451166	-0.54058574	-1.803681321	-0.499998791	2.074365547	-0.325631661	0.186351111	0.220324043	0.962402938	0.211195548	-0.448556585	-0.282338192	-0.050772703	0.41433691	0.289160683	0
2.057930272	-0.327732268	-2.726418753	-0.775523105	2.454901259	3.198474061	-0.451751851	0.733266592	0.487501013	0.029346206	0.056698812	0.285314721	-0.129718923	0.663992258	1.199933318	-0.249140856	-0.604949427	-0.137701769	-0.378915137	-0.16967548	0.256415813	0.789349312	0.040268671	0.738356944	0.28960664	-0.0807948	0.002804994	-0.064284536	0
-0.774356975	1.638656113	-1.143462782	-0.506452428	0.236317234	-0.799484549	0.281419025	0.678772878	-0.195949902	-0.439227502	-1.256320981	0.319048816	0.353194879	0.931075719	0.47171188	-0.224778667	-0.170518113	0.18474036	-0.013863466	-0.077158009	0.416903719	1.257167917	0.008775485	0.641379228	-0.663885773	-0.234362561	0.365418796	0.261844345	0
0.012269146	0.802440728	0.990714175	-0.004216179	0.325431903	-0.628611217	0.809700649	-0.329060202	0.088217994	-0.888044203	-0.333625449	0.456960711	1.394666556	-1.850907233	0.280437167	0.4469045	0.282740213	0.216403419	-0.018612329	0.157034981	-0.154159352	-0.139544984	0.163508017	-0.037868737	-1.277592149	-0.117425312	0.075383732	0.045599363	0
2.048757118	-0.01534933	-1.054279461	0.40416195	-0.050640316	-1.110940843	0.222672158	-0.35087278	0.430365568	0.042346534	-0.567484022	0.842665198	0.782571634	0.138016905	0.008517719	-0.197295464	-0.272864733	-1.046588883	0.068498003	-0.178935021	-0.27345119	-0.617758768	0.33589831	0.006684546	-0.290008952	0.198354916	-0.063349036	-0.058476767	0
2.106029338	0.034646384	-1.523331818	0.215546735	0.58681191	-0.460587051	0.31475937	-0.333313831	0.634113949	-0.178106016	-1.437846427	1.127250055	1.789640961	-0.09414715	-0.124467154	-0.297698757	-0.635117926	-0.643484449	0.552756591	-0.119713356	-0.285286673	-0.533321761	0.118010735	-1.042369889	0.124494828	-0.477392285	0.002306619	-0.058368833	0
2.136094544	0.014572177	-1.473542171	0.159954814	0.477162655	-0.588411744	0.249926858	-0.341478219	0.418209691	0.036998236	-1.451704712	0.778893643	1.53094278	-0.04258682	-0.024926141	0.137699753	-0.739362426	-0.688099886	0.529159936	-0.108031523	-0.342725571	-0.785389667	0.196137988	-0.968483973	-0.116257851	0.256069244	-0.063731297	-0.067686693	0
2.027543931	-0.069651724	-1.101606715	0.399827965	-0.041097548	-1.068817316	0.230351132	-0.342552681	0.45308902	0.03994137	-0.652253167	0.7515294	0.66863358	0.162456627	0.029486948	-0.168930737	-0.290724493	-1.005047692	0.091610105	-0.157404578	-0.27138312	-0.648398167	0.31683442	-0.06671125	-0.289917018	0.201715539	-0.066833411	-0.057117069	0
0.038891744	0.879562705	0.301614041	-0.583804689	0.427257335	-1.124634258	1.033555505	-0.224325528	-0.088046962	-0.420031226	-0.870462735	0.291176455	0.29223538	0.056777882	-0.434797109	-0.108959706	-0.421566008	-0.785476224	-0.089475357	-0.016973521	-0.255597439	-0.546851673	0.071209297	0.046984552	-0.480153995	0.136747607	0.248442043	0.098290119	0
0.295272569	0.86872611	-0.249270889	-0.468904203	1.167512691	-0.859049691	1.245821407	-0.39109915	0.154476504	-1.05709045	-0.518580804	-0.041136216	0.055788747	-1.286990068	-0.089169797	0.040414704	0.367582525	0.004656556	-0.198191206	-0.045526807	-0.308572458	-0.666784449	0.029023411	0.590035783	-0.324499782	-0.71899438	-0.124869297	-0.18484814	0
2.072657005	-0.059175665	-1.127888592	0.382489057	-0.078353857	-1.131236129	0.176761554	-0.321558468	0.562339238	0.075592742	-0.885114828	0.352361869	0.019247585	0.280625232	0.058545613	-0.058862691	-0.337664082	-0.812840202	0.202206564	-0.224165326	-0.299782182	-0.732041039	0.322831301	-0.11230562	-0.281083861	0.205321196	-0.07138725	-0.061585623	0
0.019596353	0.641114024	0.100981597	-0.781489318	0.497619884	-0.538617295	0.740319255	0.113315411	0.047962514	-0.186657165	0.09820401	-0.431283114	-2.163029112	0.719355564	-0.790855927	0.261995409	-0.624889466	0.052435232	0.298647243	-0.159400111	-0.254063578	-0.685135709	0.040156297	-0.53196801	-0.554151489	0.157917626	0.231979659	0.077985871	0
-1.323384151	0.878122363	0.879189675	-0.775536777	-0.09052602	0.465195018	-0.491794854	0.983473972	0.376175164	-0.934039538	0.350347761	-0.331529515	-1.265285728	-0.969034061	0.202535739	1.488646789	0.108450787	1.429457976	-0.205353971	0.103834287	-0.110996507	-0.381411344	-0.264396753	0.096066023	0.42962913	0.486473738	0.188636418	-0.018204197	0
-0.076676333	1.260723581	-0.681238401	0.027880831	0.210159558	-1.484198845	0.879387165	-0.000997542	-0.537986234	-1.263565747	0.012691089	0.891677412	1.540205006	-0.778494936	0.485340299	-0.079489206	0.715853963	0.32712219	-0.437916047	-0.071439785	0.417591863	1.231734997	-0.013673544	0.374608069	-0.342856488	-0.182226831	-0.00043105	0.048434918	0
2.115977645	0.034537161	-1.349614379	0.225826001	0.352195207	-0.748893148	0.267566907	-0.369521647	0.372841095	0.031598504	-1.165713664	0.9639153	1.650133289	-0.059083571	-0.064544368	0.045922123	-0.64455887	-0.802675889	0.419683412	-0.106483649	-0.32187825	-0.718572524	0.229634106	-0.675969834	-0.148881111	0.237676893	-0.062246296	-0.064407703	0
2.130235006	0.130592976	-2.611315801	0.118679858	0.91262853	-1.334193951	0.912143393	-0.469974432	0.113543503	0.170677228	0.331196532	0.32745484	-1.222539156	1.285772718	-0.612336834	-0.784587297	-0.461770924	0.325558358	0.617388737	-0.330345677	0.313616353	1.07622014	-0.296555767	-0.451534216	0.906289719	-0.182064287	-0.062049364	-0.098847399	0
0.400115032	0.638575346	-2.189354465	-1.684818563	1.21469166	-1.352215465	1.394317364	-0.55923325	-1.209340259	1.078079126	-2.307398814	-0.895470672	-0.078997072	0.513557574	-1.022136657	-2.016146278	-0.423757704	1.105309523	-0.664061135	-0.41158426	-0.009535143	0.824548008	-0.107730657	-0.944713815	-1.148467506	0.738878135	0.609427288	0.433781808	0
2.038839417	-0.149241526	-2.956729794	-0.57777924	2.608658036	3.142897037	-0.415940685	0.784208665	0.359818751	-0.351405794	0.329661056	0.183537365	-0.272791962	-0.597275924	0.583986128	0.178769482	0.473919328	-0.498704329	-0.140325452	-0.119268147	-0.35190359	-0.997311504	0.362859112	0.604863002	-0.264820281	0.219594924	-0.039343604	-0.042663332	0
-2.146508999	2.674787546	-2.268074288	-0.831088357	-0.291278904	-0.951350636	-0.171557602	1.181051161	0.876891677	0.933727027	-2.384082952	-0.514647942	-0.877088746	1.13610285	0.635283466	0.152119889	-0.326332643	0.669114112	0.240705675	0.383702303	0.239259656	0.885254223	-0.011425515	-1.025319112	-0.313138499	-0.119244807	0.753130216	0.483629545	0
0.030458502	0.935456445	-0.68898539	-0.568115933	1.296105315	-0.092485118	0.803544887	-0.02559101	-0.063225214	-1.092388131	0.074794353	0.358042661	0.284960472	-1.808437363	-1.487416338	0.556670925	0.502481221	1.007651621	0.310518081	-0.09639123	0.050960559	0.348249703	-0.366537858	-1.21955435	-0.058430057	0.602952613	-0.099813236	0.0409638	0
1.775245173	-0.326655811	-1.764348964	0.597763342	-0.099493527	-1.224053943	0.250229132	-0.270994056	1.076101711	-0.945956309	-0.469351122	0.061212387	-0.602513439	-1.464962874	-0.003712344	0.002451108	1.280493566	0.06673018	-0.005698664	0.029340234	-0.179955	-0.541222379	0.08932415	-0.14753102	-0.139760037	-0.096904779	-0.027754456	0.001626284	0
2.061574882	-0.061450336	-1.064209421	0.420103684	-0.162558819	-1.222897696	0.174055958	-0.326516576	0.565111881	0.077981473	-0.760391381	0.356592706	-0.097272894	0.307745892	0.056884336	-0.100306113	-0.275699379	-0.85294624	0.143846015	-0.234944787	-0.290521101	-0.710529852	0.34323962	0.04193588	-0.304977381	0.195918575	-0.071764811	-0.060190527	0
-0.159590676	-0.07129662	1.014788744	3.90779133	0.733699514	7.036150897	-0.276739556	1.246294342	-0.026692246	1.294322284	-1.27147259	-0.369982814	-0.062447901	-1.295482798	-0.827984309	-0.456086306	0.347794018	0.350394259	1.244819211	0.280261498	0.194845918	1.188685682	0.257655135	0.752151346	-1.43395889	0.356728598	0.243031513	-0.000408761	0
0.115392201	1.033577243	-2.388457144	-0.246228299	0.901136209	-1.20748807	1.504916398	0.000744725	-0.519016102	-0.136040174	-0.091394644	0.16523623	-1.188324018	1.5953445	-0.859946327	-1.006649753	-0.200475797	0.670386975	1.135738984	-0.074217929	0.60254347	1.819541254	0.037161791	-0.456803948	-1.000330923	-0.389231572	0.441146822	0.327139347	0
2.035116812	0.251813885	-1.71945581	0.509130194	0.308529017	-1.371524979	0.345616986	-0.430579333	0.428017713	-0.516837379	-0.175560356	0.641381838	1.098094347	-0.942180179	0.831767722	0.114537838	0.365291222	0.301777456	-0.488414697	-0.120477913	0.215356772	0.836308915	-0.044207534	-0.117115919	0.28092563	-0.098672602	0.005994828	-0.028327351	0
